"icao","airport"
"ENKL","Gol Airport"
"ENOL","Orland Airport"
"ENNO","Notodden Airport"
"ENKR","Kirkenes Airport"
"ENRS","Rost Airport"
"ENFL","Floro Airport"
"ENNK","Narvik Airport"
"ENHF","Hammerfest Airport"
"ENSG","Sogndal Airport"
"ENHK","Hasvik Airport"
"ENRM","Rorvik Airport"
"ENGM","Oslo Airport"
"ENAT","Alta Airport"
"ENDU","Bardufoss Airport"
"ENST","Sandnessjoen Airport"
"ENAN","Andoya Airport"
"ENSK","Stokmarknes Airport"
"ENHA","Hamar Airport"
"ENBR","Bergen Airport"
"ENSR","Sorkjosen Airport"
"ENCN","Kristiansand Airport"
"ENBS","Batsfjord Airport"
"ENBN","Bronnoysund Airport"
"ENBO","Bodo Airport"
"ENSA","Stord Airport"
"ENMH","Mehamn Airport"
"ENBV","Berlevag Airport"
"ENMS","Mosjoen Airport"
"ENOV","Orsta-Volda Airport"
"ENLK","Leknes Airport"
"ENSD","Sandane Airport"
"ENNA","Lakselv Airport"
"ENSS","Varddo Air"
"ENEV","Harstad/Narvik Airport"
"ENFG","Fagernes Airport"
"VNDT","Silgadhi Airport"
"VNSB","Syangboche Airport"
"VNSI","Simara Airport"
"VNJP","Janakpur Airport"
"VNKT","Tribhuvan International Airport"
"VNJI","Jiri Airport"
"VNBL","Balewa Airport"
"VNNG","Nepalgunj Airport"
"VNBT","Baitadi Airport"
"VNRC","Ramechhap Airport"
"VNBG","Bajhang Airport"
"VNRK","Chaurjahari Airport"
"VNPL","Phaplu Airport"
"VNPK","Pokhara Airport"
"VNSK","Surkhet Airport"
"VNRB","Rajbiraj Airport"
"VNGK","Palungtar Airport"
"VNBR","Bajura Airport"
"VNCG","Bhadrapur Airport (Chandragadhi Airport)"
"VNST","Simikot Airport"
"VNDH","Dhangadhi Airport"
"VNLK","Tenzing-Hillary Airport"
"VNLD","Lamidanda Airport"
"VNTR","Tumlingtar Airport"
"VNDG","Tribhuvannagar Airport (Dang Airport)"
"VNJS","Jomsom Airport"
"VNDL","Darchula Airport"
"VNBW","Gautam Buddha Airport"
"VNBJ","Bhojpur Airport"
"VNLT","Langtang Airport"
"VNTP","Tikapur Airport"
"VNBP","Bharatpur Airport"
"VNMN","Mahendranagar Airport"
"VNDP","Dolpa Airport"
"VNRP","Rolpa Airport"
"VNMG","Meghauli Airport"
"VNSR","Sanfebagar Airport"
"VNTJ","Taplejung Airport"
"VNMA","Manang Airport"
"VNVT","Biratnagar Airport"
"VNJL","Jumla Airport"
"VNRT","Rumjatar Airport"
"ANYN","Nauru International Airport"
"NIUE","Niue International Airport (Hanan Int'l)"
"NZCH","Christchurch International Airport"
"NZHK","Hokitika Airport"
"NZOH","RNZAF Base Ohakea"
"NZGB","Great Barrier Aerodrome"
"NZLX","Alexandra Aerodrome"
"NZTO","Tokoroa Aerodrome"
"NZTK","Takaka Aerodrome"
"NZRA","Raglan Aerodrome"
"NZMA","Matamata Airport"
"NZKO","Kaikohe Aerodrome"
"NZDA","Dargaville Aerodrome"
"NZOK","Picton Aerodrome"
"NZPM","Palmerston North Airport"
"NZCX","Coromandel Aerodrome"
"NZAS","Ashburton Aerodrome"
"NZAP","Taupo Airport"
"NZWF","Wanaka Airport"
"NZWS","Westport Airport"
"NZUK","Pukaki Airport"
"NZCI","Chatham Islands / Tuuta Airport"
"NZGM","Greymouth Airport"
"NZAA","Auckland Airport"
"NZPP","Kapiti Coast Airport"
"NZNS","Nelson Airport"
"","Taharoa Aerodrome"
"NZOU","Oamaru Airport"
"NZKK","Kerikeri Airport (Bay of Islands Airport)"
"NZWO","Wairoa Aerodrome"
"NZWB","Woodbourne Airport"
"NZWU","Whanganui Airport"
"NZTH","Thames Aerodrome"
"NZKE","Waiheke Island Aerodrome"
"NZMK","Motueka Aerodrome"
"NZTG","Tauranga Airport"
"","Franz Josef Glacier Aerodrome"
"NZWR","Whangarei Airport"
"NZGS","Gisborne Airport"
"NZWT","Whitianga Aerodrome"
"NZKT","Kaitaia Airport"
"NZMC","Mount Cook Aerodrome"
"NZTU","Richard Pearse Airport"
"NZQN","Queenstown Airport"
"NZDN","Dunedin International Airport"
"NZMF","Milford Sound Airport"
"NZWK","Whakatane Airport"
"NZKI","Kaikoura Aerodrome"
"NZHN","Hamilton Airport"
"NZRC","Ryan's Creek Aerodrome"
"NZNR","Hawke's Bay Airport"
"NZWN","Wellington International Airport"
"NZRO","Rotorua Regional Airport"
"NZMS","Hood Aerodrome"
"NZNP","New Plymouth Airport"
"NZNV","Invercargill Airport"
"NZGT","Glentanner Aerodrome"
"NZMO","Te Anau Airport (Manapouri Airport)"
"NZAR","Ardmore Airport"
"OOGB","Qarn Alam Airport"
"","Dibba Airport"
"","Mukhaizna Airport"
"OOSH","Sohar Airport"
"AYNO","Nomane Airport"
"FZSB","Kamina Airport (Kamina Ville Airport)"
"OORQ","Al-Musannah Airport"
"","Adam Airport"
"OOMX","Marmul Airport"
"OOLK","Lekhwair Airport"
"","Duqm Jaaluni Airport"
"OOKB","Khasab Airport"
"","Bahja Airport"
"","Duqm International Airport"
"OOMS","Muscat International Airport"
"OOTH","RAFO Thumrait"
"OOFD","Fahud Airport"
"OOBR","Buraimi Airport"
"OOMA","Masirah Air Base"
"OOSR","Sur Airport"
"OOSA","Salalah International Airport"
"MDLR","La Romana International Airport (Casa de Campo International Airport)"
"","Ticantiqui Airport"
"","Carti Airport"
"MPCE","Chitre Alonso Valderrama Airport"
"MPEJ","Enrique Adolfo Jimenez Airport"
"MPSM","Scarlett Martinez International Airport"
"","Playon Chico Airport"
"MPBO","Bocas del Toro Isla Colon International Airport"
"MPHO","Panama Pacifico International Airport"
"MPSA","Ruben Cantu Airport"
"","Ustupu-Ogobsucum Airport"
"MPWN","Wannukandi Airport"
"","Yaviza Airport"
"","Bahia Pina Airport"
"","Pedasi Airport (Capt. J. Montenegro Airport)"
"","Corazon de Jesus Airport"
"","Garachine Airport"
"","Achutupo Airport"
"","Contadora Airport"
"MPCH","Changuinola Capitan Manuel Nino International Airport"
"MPMG","Albrook Marcos A. Gelabert International Airport"
"MPJE","Jaque Airport"
"","Ailigandi Airport"
"MPTO","Tocumen International Airport"
"","Ustupo Airport"
"","Puerto Armuelles Airport"
"MPOA","Puerto Obaldia Airport"
"","San Miguel Airport"
"","Nargana Airport"
"","Tubala Airport"
"MPDA","Enrique Malek International Airport"
"","San Jose Airport"
"MPLP","Captain Ramon Xatruch Airport"
"","El Real Airport"
"","Mulatupo Airport"
"MPVR","El Porvenir Airport"
"","Mamitupo Airport"
"","Viveros Island Airport"
"","Sambu Airport"
"SPSY","Shiringayoc Airport"
"SPRU","FAP Captain Carlos Martinez de Pinillos International Airport"
"SPOA","Saposoa Airport"
"SPZO","Alejandro Velasco Astete International Airport"
"SPBL","Huallaga Airport"
"SPJJ","Francisco Carle Airport"
"SPHI","FAP Captain Jose Abelardo Quinones Gonzales International Airport"
"SPJI","Juanjui Airport"
"SPJN","San Juan de Marcona Airport"
"SPMS","Moises Benzaquen Rengifo Airport"
"SPYL","Capitan FAP VIctor Montes Arias International Airport"
"SPQT","Coronel FAP Francisco Secada Vignetta International Airport"
"SPJL","Inca Manco Capac International Airport"
"SPJR","Mayor General FAP Armando Revoredo Iglesias Airport"
"","Las Malvinas Airport"
"SPME","Cap. FAP Pedro Canga Rodriguez Airport"
"SPHZ","Comandante FAP German Arias Graziani Airport"
"SPLO","Ilo Airport"
"SPEO","Tnte. FAP Jaime Montreuil Morales Airport"
"SPIM","Jorge Chavez International Airport"
"SPZA","Maria Reiche Neuman Airport"
"SPAY","Tnte. Gral. Gerardo Perez Pinedo Airport"
"SPGM","Tingo Maria Airport"
"SPLN","San Nicolas Airport"
"SPQU","Rodriguez Ballon International Airport"
"SPPY","Chachapoyas Airport"
"SPUR","FAP Captain Guillermo Concha Iberico International Airport"
"SPCL","FAP Captain David Abensur Rengifo International Airport"
"","Alferez FAP Alfredo Vladimir Sara Bauer Airport"
"SPHO","Coronel FAP Alfredo Mendivil Duarte Airport"
"SPBB","Moyobamba Airport"
"SPBR","Iberia Airport"
"SPJA","Juan Simons Vela Airport"
"SPMF","Manuel Prado Ugarteche Airport"
"SPHY","Andahuaylas Airport"
"SPTN","Coronel FAP Carlos Ciriani Santa Rosa International Airport"
"SPJE","Jaen Airport"
"SPSO","Capitan FAP Renan Elias Olivera Airport"
"SPIL","Quince Mil Airport"
"SPDR","Trompeteros Airport"
"SPNC","Alferez FAP David Figueroa Fernandini Airport"
"SPTU","Padre Aldamiz International Airport"
"SPAR","Alerta Airport"
"SPST","Cad. FAP Guillermo del Castillo Paredes Airport"
"SPMR","Santa Maria Airport"
"","Nukutepipi Airport"
"NTKA","Kauehi Airport"
"NTTX","Mururoa Airport"
"NTKF","Faaite Airport"
"NTMP","Ua Pou Airport"
"NTAA","Fa'a'a International Airport"
"NTMU","Ua Huka Airport"
"NTKH","Fakahina Airport"
"NTTU","Tupai Airport"
"NTGD","Apataki Airport"
"NTHE","Ahe Airport"
"NTTH","Huahine - Fare Airport"
"NTAR","Rurutu Airport"
"NTGB","Fangatau Airport"
"NTGU","Arutua Airport"
"NTGK","Kaukura Airport"
"NTGE","Reao Airport"
"NTGP","Puka-Puka Airport"
"NTGH","Hikueru Airport"
"NTGV","Mataiva Airport"
"NTGA","Anaa Airport"
"NTGF","Fakarava Airport"
"NTGW","Nukutavake Airport"
"NTKK","Aratika-Nord Airport"
"NTAT","Tubuai - Mataura Airport"
"NTGC","Tikehau Airport"
"NTGN","Napuka Airport"
"NTTE","Tetiaroa Airport"
"NTKT","Katiu Airport"
"NTKR","Takaroa Airport"
"NTUV","Vahitahi Airport"
"NTGO","Tatakoto Airport"
"NTTP","Maupiti Airport"
"NTGQ","Pukarua Airport"
"NTGY","Tureia Airport"
"NTTM","Moorea Airport (Temae Airport)"
"NTTO","Hao Airport"
"NTGJ","Totegegie Airport (Gambier Island Airport)"
"NTGT","Takapoto Airport"
"NTTG","Rangiroa Airport"
"NTTR","Raiatea Airport (Uturoa Airport)"
"NTAM","Rimatara Airport"
"NTKN","Niau Airport"
"NTMN","Atuona Airport"
"NTTB","Bora Bora Airport (Motu Mute Airport)"
"NTGM","Makemo Airport"
"NTGI","Manihi Airport"
"NTKO","Raroia Airport"
"NTMD","Nuku Hiva Airport"
"NTAV","Raivavae Airport"
"NTKM","Takume Airport"
"NTAA","Faa'a International Airport"
"AYSH","Sabah Airport"
"AYNM","Kasanombe Airport"
"AYSF","Safia Airport"
"","Kisengam Airport"
"","Singaua Airport"
"AYOP","Kosipe Airport"
"","Sagarai Airport"
"AYYR","Yasuru Airport"
"AYSG","Sila Airport"
"","Manguna Airport"
"AYSJ","Simbai Airport"
"","Kunua Airport"
"AYZN","Sissano Airport"
"","Kupiano Airport"
"AYSP","Sapmanga Airport"
"AYKU","Kuri Airport"
"AYXI","Sim Airport"
"AYUY","Kuyol Airport"
"","Stockholm Airport"
"","Kitava Island Airport"
"AYQO","Sopu Airport"
"AYKW","Kawito Airport"
"","Sepik Plains Airport"
"AYSK","Sangapi Airport"
"AYCS","China Strait Airstrip"
"","Kurwina Airport"
"AYMV","Malekolon Airport"
"","Kiwai Island Airport"
"AYMP","Malalaua Airport"
"","Abau Airport"
"","Siassi Airport"
"","Karoola Airport"
"AYYM","Mal Island Airport"
"AYYE","Yalumet Airport"
"","Suria Airport"
"AYKT","Kaintiba Airport"
"AYEW","Siwea Airport"
"AYLB","Lab Lab Airport"
"AYSW","Satwag Airport"
"","Laiagam Airport"
"AYZI","Silur Airport"
"AYLL","Linga Linga Airport"
"AYQS","Sialum Airport"
"","Lehu Airport"
"AYSL","Sehulea Airport"
"","Lamassa Airport"
"AYSV","Sauren Airport"
"AYLU","Lumi Airport"
"","Maron Island Airport"
"AYLT","Lengbati Airport"
"AYPO","Mapoda Airport"
"","Munbil Airport"
"AYMJ","Makini Airport"
"AYLS","Lese Airport"
"AYMZ","Mabua Airstrip"
"AYLN","Langimar Airport"
"","Tabibuga Airport"
"","Loani Airport"
"AYTV","Timbunke Airport"
"AYLP","Leron Plains Airport"
"AYIY","Miyanmin Airport"
"AYLX","Long Island Airport"
"AYTR","Tarabo Airport"
"AYAY","Aiyura Airport"
"AYMQ","Malam Airport"
"","Leitre Airport"
"AYVM","Torembi Airport"
"AYLO","Lowai Airport"
"AYYL","Tinboli Airport"
"","Mamai Airport"
"","May River Airport"
"AYSX","Masa Airport"
"AYTF","Tetebedi Airport"
"AYDK","Munduku Airport"
"AYTY","Terapo Airport"
"","Meselia Airport"
"AYTP","Teptep Airport"
"","Margarima Airport"
"AYTH","Tifalmin Airport"
"","Angoram Airport"
"AYTE","Telefomin Airport"
"","Manga Airport"
"","Manetai Airport"
"AYEH","Morehead Airport"
"AYTG","Tagula Airport"
"AYWG","Wanigela Airport"
"","Tingwon Airport"
"","Tadji Airport"
"AYMW","Marawaka Airport"
"AYAO","Aiome Airport"
"AYRM","Maramuni Airport"
"AYAK","Aiambak Airport"
"","Mussau Island Airport"
"AYKO","Kokoda Airport"
"AYTZ","Tekadu Airport"
"AYIQ","Aropa Airport"
"AYTN","Tekin Airport"
"AYIA","Nissan Island Airport"
"AYMI","Mindik Airport"
"","Ihu Airport"
"AYXO","Tol Airport"
"AYNX","Namatanai Airport"
"AYQL","Tumolbil Airport"
"AYAG","Agaun Airport"
"AYMC","Menyamya Airport"
"AYKQ","Kagi Airport"
"","Minj Airport"
"AYAW","Awaba Airport"
"AYNY","Nambaiyufa Airport"
"AYMS","Misima Island Airport"
"","Torokina Airport"
"AYMN","Mendi Airport"
"AYVO","Tonu Airport"
"AYKC","Kandrian Airport"
"AYNJ","Namudi Airport"
"AYMO","Momote Airport"
"AYNC","Nadunumu Airport"
"AYMD","Madang Airport"
"AYTT","Tarakbits Airport"
"AYGA","Goroka Airport"
"","Tsile Tsile Airport"
"AYMH","Mount Hagen Airport"
"","Taskul Airport"
"AYMA","Manari Airport"
"AYTS","Tsewi Airport"
"AYGN","Gurney Airport"
"","Ningerum Airport"
"AYGR","Girua Airport"
"AYSE","Simberi Airport"
"AYPY","Jacksons International Airport"
"","Tauta Airport"
"AYKA","Losuia Airport"
"AYTW","Tawa Airport"
"AYMR","Moro Airport"
"AYNA","Nankina Airport"
"AYGT","Gasmata Airport"
"","Naoro Airport"
"AYSD","Saidor Airport"
"","Nipa Airport"
"AYKY","Lihir Island Airport"
"AYNI","Nuguria Airstrip"
"","Lake Murray Airport"
"","Nutuve Airport"
"AYSU","Suki Airport"
"AYUI","Buin Airport"
"AYHK","Hoskins Airport"
"","Nowata Airport"
"","Haelogo Airport"
"AYMB","Morobe Airport"
"ATNR","Nomad River Airport"
"AYOG","Ogeramnang Airport"
"","Jacquinot Bay Airport"
"AYOJ","Oksapmin Airport"
"AYNZ","Lae Nadzab Airport"
"AYNU","Nuku Airport"
"","Itokama Airport"
"","Sule Airport"
"AYOB","Obo Airport"
"AYOF","Okao Airport"
"AYKV","Kavieng Airport"
"AYOV","Olsobip Airport"
"","Kamusi Airport"
"AYUC","Umba Airport"
"AYTK","Rabaul Airport (Tokua Airport)"
"","Omkalai Airport"
"AYQA","Karawari Airport"
"","Open Bay Airport"
"AYKK","Kikori Airport"
"AYBM","Balimo Airport"
"AYQQ","Ononge Airport"
"AYUR","Upiara Airport"
"","Moki Airport"
"AYUE","Uroubi Airport"
"AYRI","Karimui Airport"
"","Usino Airport"
"","Salamo Airport"
"","Manumu Airport"
"AYKM","Kerema Airport"
"AYOM","Omora Airport"
"AYTB","Tabubil Airport"
"AYUZ","Uvol Airport"
"AYSS","Sasereme Airport"
"AYZS","Ossima Airport"
"AYTU","Tufi Airport"
"","Oria Airport"
"AYGP","Gusap Airport"
"","Pambwa Airport"
"AYTA","Tari Airport"
"AYPD","Pindiu Airport"
"AYVL","Talasea Airport"
"AYPC","Pangoa Airport"
"AYFA","Fane Airport"
"","Yegepa Airport"
"AYTI","Tapini Airport"
"AYPG","Pangia Airport"
"AYFI","Finschhafen Airport"
"AYWF","Wawoi Falls Airport"
"AYKI","Kiunga Airport"
"AYPB","Paiela Airport"
"AYVN","Vanimo Airport"
"AYPQ","Pumani Airport"
"","Vivigani Airfield"
"AYWJ","Wapolu Airport"
"AYEF","Efogi Airport"
"AYAE","Mount Aue Airport"
"AYBA","Baimuru Airport"
"AYXW","Weam Airport"
"AYWB","Wabo Airport"
"AYPJ","Pimaga Airport"
"AYWD","Wapenamanda Airport"
"","Wagau Airport"
"AYXP","Wipim Airport"
"","Param Airport"
"AYWT","Woitape Airport"
"AYIX","Witu Airport"
"AYWK","Wewak Airport"
"AYWQ","Wakunai Airport"
"AYDU","Daru Airport"
"","Puas Airport"
"AYCH","Chimbu Airport"
"","Pureni Airport"
"AYCG","Cape Gloucester Airport"
"","Rakanda Airport"
"AYBU","Bulolo Airport"
"AYWH","Wanuma Airport"
"AYBK","Buka Island Airport"
"AYWO","Wonenara Airport"
"AYBH","Bensbach Airport"
"","Arawa Airport"
"AYBQ","Biangabip Airport"
"AYIW","Wasua Airport"
"AYET","Bosset Airport"
"AYYO","Oram Airport"
"","Atkamba Airport"
"AYWS","Wasu Airport"
"AYAN","Andakombe Airport"
"AYWC","Wantoat Airport"
"AYAX","Aseki Airport"
"AYWU","Wau Airport"
"AYAF","Afore Airport"
"","Wasum Airport"
"","Kagua Airport"
"AYVW","Wuvulu Island Airport"
"AYGU","Anguganak Airport"
"AYBZ","Biniguni Airport"
"AYAA","Ama Airport"
"AYRE","Rabaraba Airport"
"","Amboin Airport"
"","Porgera Airport"
"AYAM","Amanab Airport"
"AYED","Edwaki Airport"
"","Aroa Airport"
"AYYK","Yankisa Airport"
"","Annanberg Airport"
"AYRK","Kairuku Airport"
"","Arona Airport"
"AYRG","Rumginae Airport"
"","Asapa Airport"
"","Robinson River Airport"
"AYPE","April River Airport"
"","Ruti Airport"
"","Aragip Airport"
"AYXE","Yeva Airport"
"","Asirim Airport"
"AYSO","Selbang Airport"
"AYAI","Aitape Airstrip"
"AYZA","Zenag Airport"
"AYND","Aua Island Airport"
"AYSA","Suabi Airport"
"AYAT","Ambunti Airport"
"","Wedau Airport"
"AYUM","Aumo Airport"
"","Awar Airport"
"","Amazon Bay Airport"
"AYBL","Bialla Airport"
"","Bali Airport"
"","Baibara Airport"
"AYBC","Bambu Airport"
"AYBG","Baindoung Airport"
"","Bereina Airport"
"","Biliau Airport"
"","Bimin Airport"
"AYBO","Bomai Airport"
"AYBF","Bamu Airport"
"AYBD","Bodinumu Airport"
"AYDI","Bundi Airport"
"","Boana Airport"
"","Banz Airport"
"","Boku Airport"
"","Boang Island Airport"
"","Boridi Airport"
"AYBP","Bapi Airport"
"","Brahman Airport"
"AYBR","Biaru Airport"
"","Bolovip Airport"
"","Bawan Airport"
"AYBI","Bewani Airport"
"AYNS","Bunsil Airport"
"","Cape Orford Airport"
"","Cape Rodney Airport"
"AYCB","Chungrebu Airport"
"","Cape Vogel Airport"
"","Daup Airport"
"","Dabo Airport"
"AYDB","Debepare Airport"
"","Dodoima Airport"
"AYDE","Derim Airport"
"","Dalbertis Airport"
"AYDN","Dinangat Airport"
"AYDO","Doini Island Airport"
"AYDR","Dorobisoro Airstrip"
"","Dios Airport"
"","Dumpu Airport"
"AYEN","Engati Airport"
"","Popondetta Airport"
"AYEE","Emirau Airport"
"AYEO","Emo Airport"
"AYEB","Embessa Airport"
"AYEL","Eliptamin Airport"
"AYEV","Erave Airport"
"AYER","Erume Airport"
"","Esa'ala Airport"
"AYFR","Frieda River Airport"
"AYFE","Feramin Airport"
"","Fulleborn Airport"
"AYFU","Fuma Airport"
"AYGI","Garaina Airport"
"AYGJ","Guasopa Airport"
"AYGS","Gasuke Airport"
"AYNE","Negarbo Airport"
"AYGC","Gewoia Airport"
"AYUP","Gulgubip Airport"
"AYGX","Gora Airport"
"AYGL","Gonaili Airstrip"
"","Garuahi Airport"
"AYGG","Garasa Airport"
"","Guriaso Airport"
"AYGF","Guari Airport"
"AYML","Mougulu Airport"
"AYGV","Green River Airport"
"","Gnarowein Airport"
"","Hatzfeldthaven Airport"
"AYHB","Habi Airport"
"AYHO","Haivaro Airport"
"AYHE","Heiweni Airport"
"AYHH","Honinabi Airport"
"AYOK","Komako Airport"
"AYHU","Hawabango Airport"
"AYHF","Hayfields Airport"
"","Iaura Airport"
"","Iboki Airport"
"AYID","Indagen Airport"
"","Ileg Airport"
"","Iamalele Airport"
"AYIO","Imonda Airport"
"AYII","Imane Airport"
"","Iokea Airport"
"","Ioma Airport"
"","Inus Airport"
"AYJS","Josephstaal Airport"
"","Karato Airport"
"","Kar Airport"
"AYKH","Kamulai Airport"
"AYKB","Kabwum Airport"
"AYOQ","Komaio Airport"
"AYOW","Koroba Airport"
"AYNN","Kandep Airport"
"AYTO","Kamberatoro Airport"
"AYLG","Keglsugl Airport"
"AYNB","Kanabea Airport"
"AYOE","Konge Airport"
"AYJO","Yongai Airport"
"AYIM","Kungim Airport"
"","Kaiapit Airport"
"AYLI","Kibuli Airport"
"AYRA","Kira Airport"
"","Kikinonda Airport"
"","Kamiraba Airport"
"","Koinambe Airport"
"AYKD","Kamina Airport"
"AYKJ","Kanainj Airport"
"","Kelanoa Airport"
"AYOO","Komo-Manda Airport"
"AYRO","Kakoro Airport"
"AYKG","Kopiago Airport"
"AYYP","Yapsiei Airport"
"AYDL","Kondubol Airport"
"","Kapal Airport"
"AYAQ","Kompiam Airport"
"AYOL","Kol Airport"
"AYEA","Kerau Airport"
"AYKR","Karkar Airport"
"RPSV","San Vicente Airport"
"RPMO","Labo Airport"
"RPUS","San Fernando Airport"
"RPLC","Clark International Airport"
"RPUO","Basco Airport"
"RPVR","Roxas Airport"
"RPLE","Balesin Airport"
"RPMA","Allah Valley Airport"
"RPMJ","Jolo Airport"
"RPVK","Kalibo International Airport"
"RPVI","Iloilo International Airport"
"RPVV","Francisco B. Reyes Airport"
"RPLS","Danilo Atienza Air Base"
"RPVC","Calbayog Airport"
"RPVS","Evelio Javier Airport (Antique Airport)"
"","Tagbita Airport"
"RPLU","Lubang Airport"
"RPMW","Tandag Airport"
"RPVT","Tagbilaran Airport"
"RPVO","Ormoc Airport"
"","Culion Airport"
"RPUD","Bagasbas Airport"
"RPMP","Pagadian Airport"
"RPLP","Legazpi International Airport"
"RPUM","Mamburao Airport"
"RPVF","Catarman National Airport"
"RPUT","Tuguegarao Airport"
"RPVJ","Moises R. Espinosa Airport (Masbate Airport)"
"RPLI","Laoag International Airport"
"RPUR","Dr. Juan C. Angara Airport"
"RPLO","Cuyo Airport"
"RPSD","Cesar Lim Rodriguez Airport"
"RPNO","Siocon Airport"
"RPVE","Godofredo P. Ramos Airport (Caticlan Airport)"
"RPVD","Sibulan Airport (Dumaguete Airport)"
"RPMQ","Mati Airport (Imelda R. Marcos Airport)"
"RPMF","Bislig Airport"
"RPUY","Cauayan Airport"
"RPLH","Cagayan North International Airport (Lal-lo Airport)"
"RPMR","General Santos International Airport (Tambler Airport)"
"RPMD","Francisco Bangoy International Airport"
"","Maramag Airport"
"","Baganga Airport"
"RPSG","Sicogon Airport"
"RPMM","Malabang Airport"
"RPMZ","Zamboanga International Airport"
"","Coron Airport"
"RPNS","Sayak Airport (Siargao Airport)"
"","Siasi Airport"
"RPMS","Surigao Airport"
"RPMI","Maria Cristina Airport (Iligan Airport)"
"RPUH","San Jose Airport"
"RPMN","Sanga-Sanga Airport"
"RPMY","Laguindingan Airport"
"RPMH","Camiguin Airport"
"","Casiguran Airport"
"RPVM","Mactan-Cebu International Airport"
"RPLL","Ninoy Aquino International Airport / Villamor Air Base"
"RPLB","Subic Bay International Airport"
